Invoice,ReturnStatus
100731,Returned
103747,Returned
105244,Returned
105897,Returned
109614,Returned
112770,Returned
114794,Returned
114813,Returned
117070,Returned
122929,Returned
124954,Returned
127025,Returned
129478,Returned
129538,Returned
132623,Returned
132906,Returned
132936,Returned
133526,Returned
134791,Returned
138105,Returned
139599,Returned
140484,Returned
141329,Returned
148007,Returned
151057,Returned
151340,Returned
151890,Returned
152145,Returned
156979,Returned
157032,Returned
158762,Returned
158992,Returned
159699,Returned
166235,Returned
169453,Returned
169860,Returned
171836,Returned
172215,Returned
172751,Returned
174590,Returned
175689,Returned
176111,Returned
177745,Returned
181919,Returned
183790,Returned
186137,Returned
188111,Returned
190292,Returned
191895,Returned
192876,Returned
193821,Returned
193984,Returned
195549,Returned
198167,Returned
200878,Returned
201901,Returned
205845,Returned
208103,Returned
209145,Returned
210507,Returned
215065,Returned
215633,Returned
218398,Returned
219067,Returned
100431,Returned
104062,Returned
105727,Returned
105856,Returned
106322,Returned
107248,Returned
109634,Returned
110582,Returned
111435,Returned
116234,Returned
116272,Returned
117327,Returned
119842,Returned
120291,Returned
121553,Returned
126121,Returned
129747,Returned
130168,Returned
130991,Returned
134395,Returned
137166,Returned
137949,Returned
143609,Returned
147250,Returned
149064,Returned
154060,Returned
156130,Returned
156281,Returned
156933,Returned
156967,Returned
157329,Returned
158017,Returned
158252,Returned
158812,Returned
158967,Returned
162062,Returned
163146,Returned
163672,Returned
163965,Returned
165073,Returned
165150,Returned
165375,Returned
165740,Returned
165923,Returned
174290,Returned
176959,Returned
177926,Returned
184499,Returned
187339,Returned
187500,Returned
189078,Returned
191731,Returned
194235,Returned
195259,Returned
195344,Returned
196417,Returned
198401,Returned
201533,Returned
204412,Returned
205768,Returned
207397,Returned
210771,Returned
213218,Returned
214997,Returned
215277,Returned
217634,Returned
218678,Returned
218877,Returned
101281,Returned
102725,Returned
105219,Returned
107423,Returned
116801,Returned
119114,Returned
119940,Returned
123961,Returned
127101,Returned
128126,Returned
129321,Returned
129742,Returned
132931,Returned
134925,Returned
139628,Returned
141919,Returned
142552,Returned
145559,Returned
146327,Returned
147065,Returned
147993,Returned
154963,Returned
159513,Returned
160735,Returned
161395,Returned
162100,Returned
162635,Returned
167243,Returned
176609,Returned
182497,Returned
186144,Returned
191375,Returned
192061,Returned
194205,Returned
206747,Returned
207722,Returned
207831,Returned
208302,Returned
212534,Returned
212989,Returned
215083,Returned
218290,Returned
100700,Returned
103839,Returned
104784,Returned
106271,Returned
108461,Returned
109276,Returned
113878,Returned
114235,Returned
114477,Returned
114640,Returned
117651,Returned
120830,Returned
121458,Returned
129280,Returned
134082,Returned
134623,Returned
136021,Returned
137609,Returned
139269,Returned
139429,Returned
139695,Returned
143053,Returned
144788,Returned
144828,Returned
145075,Returned
147393,Returned
147763,Returned
151835,Returned
154936,Returned
156003,Returned
158269,Returned
160266,Returned
160429,Returned
169251,Returned
170819,Returned
178488,Returned
178617,Returned
182281,Returned
185074,Returned
192240,Returned
195055,Returned
195532,Returned
195578,Returned
196357,Returned
199221,Returned
200231,Returned
200279,Returned
202359,Returned
202980,Returned
203034,Returned
204330,Returned
204346,Returned
209754,Returned
211525,Returned
215285,Returned
217944,Returned
219482,Returned
100586,Returned
101455,Returned
101849,Returned
107533,Returned
108322,Returned
108529,Returned
112450,Returned
113855,Returned
115123,Returned
115625,Returned
120447,Returned
123162,Returned
124209,Returned
124255,Returned
124622,Returned
133775,Returned
135769,Returned
136071,Returned
142597,Returned
145704,Returned
147873,Returned
149264,Returned
152975,Returned
156064,Returned
160178,Returned
161846,Returned
163357,Returned
164517,Returned
166074,Returned
170215,Returned
170750,Returned
171166,Returned
175919,Returned
175991,Returned
178671,Returned
179156,Returned
180708,Returned
182508,Returned
185421,Returned
186059,Returned
187772,Returned
188396,Returned
192572,Returned
197848,Returned
204867,Returned
207308,Returned
208266,Returned
210426,Returned
212146,Returned
214209,Returned
215287,Returned
215528,Returned
217580,Returned
101296,Returned
105214,Returned
109333,Returned
112134,Returned
117477,Returned
119650,Returned
120931,Returned
121582,Returned
127694,Returned
128851,Returned
130745,Returned
130797,Returned
130996,Returned
133459,Returned
134409,Returned
134608,Returned
136842,Returned
137961,Returned
140190,Returned
147443,Returned
147911,Returned
149407,Returned
151188,Returned
152871,Returned
152967,Returned
158380,Returned
159470,Returned
161032,Returned
161700,Returned
167693,Returned
167850,Returned
170228,Returned
171091,Returned
171682,Returned
173112,Returned
174187,Returned
175252,Returned
177187,Returned
183870,Returned
191364,Returned
191980,Returned
193132,Returned
193834,Returned
194233,Returned
198099,Returned
198535,Returned
200085,Returned
201453,Returned
208284,Returned
213055,Returned
214350,Returned
214967,Returned
217013,Returned
218462,Returned
218744,Returned
137324,Returned
208248,Returned
152719,Returned
213876,Returned
215043,Returned
186501,Returned
202275,Returned
124483,Returned
199184,Returned
131371,Returned
137192,Returned
144466,Returned
148653,Returned
159000,Returned
174244,Returned
181358,Returned
205799,Returned
131030,Returned
158605,Returned
188775,Returned
201978,Returned
208079,Returned
106962,Returned
108795,Returned
109097,Returned
109816,Returned
109996,Returned
110792,Returned
115550,Returned
115679,Returned
118701,Returned
120538,Returned
121435,Returned
123073,Returned
125772,Returned
126457,Returned
126612,Returned
130989,Returned
134612,Returned
134708,Returned
135860,Returned
137260,Returned
147327,Returned
148669,Returned
152635,Returned
157898,Returned
158079,Returned
158566,Returned
158795,Returned
162430,Returned
168339,Returned
181153,Returned
184513,Returned
188852,Returned
190601,Returned
191242,Returned
192124,Returned
194062,Returned
196185,Returned
203073,Returned
205087,Returned
215177,Returned
216119,Returned
217642,Returned
105513,Returned
109302,Returned
111342,Returned
115069,Returned
115874,Returned
119269,Returned
123347,Returned
124124,Returned
131792,Returned
132345,Returned
133370,Returned
139470,Returned
142125,Returned
143860,Returned
145271,Returned
148247,Returned
156019,Returned
158375,Returned
163011,Returned
166071,Returned
169339,Returned
175680,Returned
176136,Returned
177414,Returned
181028,Returned
184585,Returned
188883,Returned
191697,Returned
192688,Returned
196283,Returned
198002,Returned
200140,Returned
202088,Returned
204042,Returned
207223,Returned
209769,Returned
212869,Returned
213613,Returned
216746,Returned
218297,Returned
218698,Returned
100396,Returned
101494,Returned
102198,Returned
106159,Returned
106520,Returned
107625,Returned
108576,Returned
113566,Returned
114369,Returned
122088,Returned
123227,Returned
123323,Returned
124188,Returned
126023,Returned
130804,Returned
131498,Returned
131722,Returned
142714,Returned
145193,Returned
147718,Returned
149148,Returned
153618,Returned
168711,Returned
170635,Returned
173297,Returned
180125,Returned
184041,Returned
188567,Returned
188977,Returned
190759,Returned
191601,Returned
193033,Returned
193999,Returned
200596,Returned
203036,Returned
207386,Returned
207506,Returned
208662,Returned
212577,Returned
218103,Returned
218637,Returned
103696,Returned
108303,Returned
109232,Returned
136028,Returned
136045,Returned
137068,Returned
141903,Returned
143735,Returned
145458,Returned
147401,Returned
150452,Returned
153161,Returned
153676,Returned
153923,Returned
155616,Returned
155726,Returned
155837,Returned
157312,Returned
159136,Returned
161530,Returned
164329,Returned
164483,Returned
164628,Returned
164657,Returned
164732,Returned
166164,Returned
